6.9011181017e+00 589.515
6.9730328449e+00 608.265
7.0456969928e+00 627.065
7.1191183547e+00 645.946
7.1933048215e+00 665.107
7.2682643659e+00 684.712
7.3440050441e+00 704.767
7.4205349961e+00 725.279
7.4978624467e+00 746.256
7.5759957063e+00 767.705
7.6549431722e+00 789.633
7.7347133289e+00 812.048
7.8153147495e+00 834.958
7.8967560965e+00 858.369
7.9790461223e+00 882.289
8.0621936709e+00 906.727
8.1462076784e+00 931.689
8.2310971738e+00 957.185
8.3168712804e+00 983.22
8.4035392164e+00 1009.8
8.4911102964e+00 1036.94
8.5795939316e+00 1064.65
8.6689996315e+00 1092.93
8.7593370049e+00 1121.79
8.8506157603e+00 1151.23
8.9428457077e+00 1181.28
9.0360367593e+00 1211.93
9.1301989303e+00 1243.19
9.2253423407e+00 1275.08
9.3214772156e+00 1307.6
9.4186138869e+00 1340.76
9.5167627939e+00 1374.57
9.6159344850e+00 1409.03
9.7161396183e+00 1444.17
9.8173889631e+00 1479.97
9.9196934007e+00 1516.47
1.0023063926e+01 1553.65
1.0127511649e+01 1591.55
1.0233047793e+01 1630.15
1.0339683703e+01 1669.49
1.0447430837e+01 1709.56
1.0556300776e+01 1750.38
1.0666305220e+01 1791.95
1.0777455991e+01 1834.29
1.0889765036e+01 1877.4
1.1003244423e+01 1921.3
1.1117906350e+01 1965.99
1.1233763139e+01 2011.5
1.1350827240e+01 2057.81
1.1469111236e+01 2104.96
1.1588627839e+01 2152.94
1.1709389893e+01 2201.78
1.1831410376e+01 2251.47
1.1954702403e+01 2302.03
1.2079279224e+01 2353.47
1.2205154227e+01 2405.76
1.2332340941e+01 2458.92
1.2460853034e+01 2512.94
1.2590704318e+01 2567.85
1.2721908748e+01 2623.66
1.2854480425e+01 2680.36
1.2988433597e+01 2737.97
1.3123782660e+01 2796.5
1.3260542160e+01 2855.95
1.3398726794e+01 2916.35
1.3538351415e+01 2977.69
1.3679431027e+01 3039.99
1.3821980793e+01 3103.26
1.3966016033e+01 3167.51
1.4111552226e+01 3232.74
1.4258605014e+01 3298.97
1.4407190200e+01 3366.2
1.4557323753e+01 3434.45
1.4709021809e+01 3503.73
1.4862300671e+01 3574.05
1.5017176811e+01 3645.41
1.5173666875e+01 3717.83
1.5331787681e+01 3791.32
1.5491556223e+01 3865.88
1.5652989671e+01 3941.54
1.5816105374e+01 4018.3
1.5980920863e+01 4096.16
1.6147453851e+01 4175.15
1.6315722236e+01 4255.27
1.6485744102e+01 4336.53
1.6657537721e+01 4418.95
1.6831121556e+01 4502.54
1.7006514263e+01 4587.3
1.7183734692e+01 4673.24
1.7362801888e+01 4760.39
1.7543735096e+01 4848.75
1.7726553762e+01 4938.33
1.7911277533e+01 5029.15
1.8097926262e+01 5121.21
1.8286520009e+01 5214.53
1.8477079042e+01 5309.12
1.8669623841e+01 5404.99
1.8864175098e+01 5502.15
1.9060753723e+01 5600.62
1.9259380843e+01 5700.41
1.9460077803e+01 5801.54
1.9662866174e+01 5904
1.9867767750e+01 6007.82
2.0074804551e+01 6112.96
2.0283998828e+01 6219.28
2.0495373064e+01 6326.68
2.0708949976e+01 6435.16
2.0924752517e+01 6544.73
2.1142803879e+01 6655.39
2.1363127498e+01 6767.13
2.1585747051e+01 6879.97
2.1810686464e+01 6993.88
2.2037969912e+01 7108.89
2.2267621821e+01 7224.98
2.2499666872e+01 7342.16
2.2734130005e+01 7460.43
2.2971036416e+01 7579.79
2.3210411566e+01 7700.24
2.3452281183e+01 7821.77
2.3696671259e+01 7944.39
2.3943608060e+01 8068.1
2.4193118125e+01 8192.9
2.4445228269e+01 8318.79
2.4699965586e+01 8445.76
2.4957357455e+01 8573.82
2.5217431537e+01 8702.97
2.5480215782e+01 8833.2
2.5745738433e+01 8964.53
2.6014028027e+01 9096.93
2.6285113395e+01 9230.43
2.6559023674e+01 9365.01
2.6835788299e+01 9500.67
2.7115437017e+01 9637.43
2.7397999880e+01 9775.26
2.7683507256e+01 9914.18
2.7971989831e+01 10054.2
2.8263478606e+01 10195.3
2.8558004910e+01 10337.4
2.8855600395e+01 10480.7
2.9156297045e+01 10625
2.9460127176e+01 10770.5
2.9767123441e+01 10917
3.0077318833e+01 11064.6
3.0390746691e+01 11213.2
3.0707440698e+01 11363
3.1027434890e+01 11513.8
3.1350763658e+01 11665.7
3.1677461750e+01 11818.7
3.2007564278e+01 11972.8
3.2341106717e+01 12127.9
3.2678124915e+01 12284.2
3.3018655091e+01 12441.5
3.3362733842e+01 12599.9
3.3710398149e+01 12759.3
3.4061685374e+01 12919.9
3.4416633271e+01 13081.5
3.4775279987e+01 13244.2
3.5137664066e+01 13408
3.5503824455e+01 13572.9
3.5873800505e+01 13738.8
3.6247631979e+01 13905.8
3.6625359053e+01 14073.9
3.7007022322e+01 14243.1
3.7392662803e+01 14413.4
3.7782321943e+01 14584.7
3.8176041619e+01 14757.1
3.8573864144e+01 14930.6
3.8975832273e+01 15105.2
3.9381989207e+01 15280.9
3.9792378596e+01 15457.6
4.0207044546e+01 15635.4
4.0626031620e+01 15814.3
4.1049384849e+01 15994.3
4.1477149731e+01 16175.4
4.1909372239e+01 16357.5
4.2346098824e+01 16540.8
4.2787376423e+01 16725.1
4.3233252459e+01 16910.5
4.3683774853e+01 17097
4.4138992023e+01 17284.6
4.4598952892e+01 17473.3
4.5063706892e+01 17663
4.5533303972e+01 17853.9
4.6007794600e+01 18045.8
4.6487229771e+01 18238.8
4.6971661010e+01 18432.9
4.7461140380e+01 18628.2
4.7955720486e+01 18824.5
